Code,Occupation
13-2011.01,Accountants
13-2011.00,Accountants and Auditors
29-1141.01,Acute Care Nurses
29-1141.02,Advanced Practice Psychiatric Nurses
29-1069.01,Allergists and Immunologists
39-3091.00,Amusement and Recreation Attendants
11-9013.03,Aquacultural Managers
13-2011.02,Auditors
49-3023.01,Automotive Master Mechanics
49-3023.00,Automotive Service Technicians and Mechanics
49-3023.02,Automotive Specialty Technicians
35-3022.01,Baristas
35-3011.00,Bartenders
43-3011.00,Bill and Account Collectors
43-3021.00,Billing and Posting Clerks
43-3021.02,"Billing, Cost, and Rate Clerks"
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
11-9199.11,Brownfield Redevelopment Specialists and Site Managers
53-3022.00,"Bus Drivers, School or Special Client"
13-1199.04,Business Continuity Planners
13-1199.00,"Business Operations Specialists, All Other"
47-2031.00,Carpenters
41-2011.00,Cashiers
21-1021.00,"Child, Family, and School Social Workers"
39-9011.00,Childcare Workers
17-2051.00,Civil Engineers
53-7061.00,Cleaners of Vehicles and Equipment
29-1141.04,Clinical Nurse Specialists
27-2022.00,Coaches and Scouts
35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food"
11-9199.02,Compliance Managers
15-1131.00,Computer Programmers
15-1121.00,Computer Systems Analysts
15-1151.00,Computer User Support Specialists
47-2031.01,Construction Carpenters
47-2061.00,Construction Laborers
11-9021.00,Construction Managers
35-2011.00,"Cooks, Fast Food"
35-2012.00,"Cooks, Institution and Cafeteria"
35-2014.00,"Cooks, Restaurant"
33-3012.00,Correctional Officers and Jailers
13-1051.00,Cost Estimators
41-2021.00,Counter and Rental Clerks
35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"
29-1141.03,Critical Care Nurses
43-4051.00,Customer Service Representatives
13-1199.03,Customs Brokers
31-9091.00,Dental Assistants
29-2021.00,Dental Hygienists
29-1069.02,Dermatologists
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
35-9021.00,Dishwashers
53-3031.00,Driver/Sales Workers
47-2111.00,Electricians
25-2021.00,"Elementary School Teachers, Except Special Education"
29-2041.00,Emergency Medical Technicians and Paramedics
13-1199.01,Energy Auditors
41-3099.01,Energy Brokers
43-6011.00,Executive Secretaries and Executive Administrative Assistants
11-9013.02,Farm and Ranch Managers
13-1074.00,Farm Labor Contractors
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
45-2092.02,"Farmworkers and Laborers, Crop"
45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
13-2051.00,Financial Analysts
11-3031.00,Financial Managers
11-3031.02,"Financial Managers, Branch or Department"
33-2011.00,Firefighters
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
41-1011.00,First-Line Supervisors of Retail Sales Workers
35-2021.00,Food Preparation Workers
35-3041.00,"Food Servers, Nonrestaurant"
33-2011.02,Forest Firefighters
11-1021.00,General and Operations Managers
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
49-9021.01,Heating and Air Conditioning Mechanics and Installers
49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
53-3032.00,Heavy and Tractor-Trailer Truck Drivers
51-9198.00,Helpers--Production Workers
31-1011.00,Home Health Aides
29-1069.03,Hospitalists
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
13-1071.00,Human Resources Specialists
49-9041.00,Industrial Machinery Mechanics
53-7051.00,Industrial Truck and Tractor Operators
15-1121.01,Informatics Nurse Specialists
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
41-3021.00,Insurance Sales Agents
11-9199.03,Investment Fund Managers
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
37-3011.00,Landscaping and Groundskeeping Workers
23-1011.00,Lawyers
29-2061.00,Licensed Practical and Licensed Vocational Nurses
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
53-3033.00,Light Truck or Delivery Services Drivers
11-9199.08,Loss Prevention Managers
51-4041.00,Machinists
37-2012.00,Maids and Housekeeping Cleaners
49-9071.00,"Maintenance and Repair Workers, General"
13-1111.00,Management Analysts
11-9199.00,"Managers, All Other"
13-1161.00,Market Research Analysts and Marketing Specialists
43-5081.02,Marking Clerks
11-9111.00,Medical and Health Services Managers
31-9092.00,Medical Assistants
43-6013.00,Medical Secretaries
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
33-2011.01,Municipal Firefighters
39-9011.01,Nannies
15-1142.00,Network and Computer Systems Administrators
29-1069.04,Neurologists
29-1069.05,Nuclear Medicine Physicians
11-9013.01,Nursery and Greenhouse Managers
45-2092.01,Nursery Workers
31-1014.00,Nursing Assistants
43-9061.00,"Office Clerks, General"
13-1199.06,Online Merchants
47-2073.00,Operating Engineers and Other Construction Equipment Operators
29-1069.06,Ophthalmologists
43-5081.04,"Order Fillers, Wholesale and Retail Sales"
53-7064.00,"Packers and Packagers, Hand"
47-2141.00,"Painters, Construction and Maintenance"
29-1069.07,Pathologists
43-4051.03,Patient Representatives
39-9021.00,Personal Care Aides
29-1051.00,Pharmacists
29-2052.00,Pharmacy Technicians
29-1069.08,Physical Medicine and Rehabilitation Physicians
29-1123.00,Physical Therapists
29-1069.00,"Physicians and Surgeons, All Other"
47-2152.01,Pipe Fitters and Steamfitters
47-2152.02,Plumbers
47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
33-3051.00,Police and Sheriff's Patrol Officers
33-3051.01,Police Patrol Officers
43-5052.00,Postal Service Mail Carriers
25-2011.00,"Preschool Teachers, Except Special Education"
29-1069.09,Preventive Medicine Physicians
11-9141.00,"Property, Real Estate, and Community Association Managers"
29-1069.10,Radiologists
43-4171.00,Receptionists and Information Clerks
49-9021.02,Refrigeration Mechanics and Installers
29-1141.00,Registered Nurses
11-9199.01,Regulatory Affairs Managers
41-2031.00,Retail Salespersons
47-2031.02,Rough Carpenters
41-3031.02,"Sales Agents, Financial Services"
41-3031.01,"Sales Agents, Securities and Commodities"
11-2022.00,Sales Managers
41-3099.00,"Sales Representatives, Services, All Other"
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
41-3031.03,Securities and Commodities Traders
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
33-9032.00,Security Guards
13-1199.02,Security Management Specialists
11-9199.07,Security Managers
33-3051.03,Sheriffs and Deputy Sheriffs
43-5071.00,"Shipping, Receiving, and Traffic Clerks"
21-1093.00,Social and Human Service Assistants
15-1132.00,"Software Developers, Applications"
15-1133.00,"Software Developers, Systems Software"
47-1011.03,Solar Energy Installation Managers
41-4011.07,Solar Sales Representatives and Assessors
51-4121.07,Solderers and Brazers
29-1069.11,Sports Medicine Physicians
43-3021.01,Statement Clerks
43-5081.00,Stock Clerks and Order Fillers
43-5081.01,"Stock Clerks, Sales Floor"
43-5081.03,"Stock Clerks- Stockroom, Warehouse, or Storage Yard"
11-9199.04,Supply Chain Managers
13-1199.05,Sustainability Specialists
25-9041.00,Teacher Assistants
25-3099.00,"Teachers and Instructors, All Other"
51-2092.00,Team Assemblers
43-3071.00,Tellers
17-2051.01,Transportation Engineers
11-3031.01,Treasurers and Controllers
25-3099.02,Tutors
29-1069.12,Urologists
35-3031.00,Waiters and Waitresses
51-4121.06,"Welders, Cutters, and Welder Fitters"
51-4121.00,"Welders, Cutters, Solderers, and Brazers"
11-9199.09,Wind Energy Operations Managers
11-9199.10,Wind Energy Project Managers
